app,category,review,rating,true_sentiment
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,"Great UX, everything is where you expect it to be.",5,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,Notifications are impossible to configure.,1,negative
Figma,Design Tool,"Thoughtful design, love the attention to detail.",4,positive
Figma,Design Tool,Beautiful design and very responsive.,5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,"Thoughtful design, love the attention to detail.",4,positive
Figma,Design Tool,Notifications are impossible to configure.,1,negative
Figma,Design Tool,"Thoughtful design, love the attention to detail.",4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,5,positive
Figma,Design Tool,Notifications are impossible to configure.,1,negative
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,4,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",4,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",4,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,"Some features are great, others feel unfinished.",3,neutral
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,"Thoughtful design, love the attention to detail.",4,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,4,positive
Figma,Design Tool,Beautiful design and very responsive.,4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,"Great UX, everything is where you expect it to be.",5,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,The search is fast and results are always relevant.,4,positive
Figma,Design Tool,"Keeps crashing on my device, unusable.",1,negative
Figma,Design Tool,"Thoughtful design, love the attention to detail.",4,positive
Figma,Design Tool,"It is okay, does the job but nothing special.",3,neutral
Figma,Design Tool,"The interface is super clean and intuitive, love it!",5,positive
Figma,Design Tool,"Thoughtful design, love the attention to detail.",5,positive
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,"The recent redesign made things worse, not better.",1,negative
Figma,Design Tool,"It is okay, does the job but nothing special.",3,neutral
Figma,Design Tool,"Thoughtful design, love the attention to detail.",4,positive
Figma,Design Tool,The search is fast and results are always relevant.,4,positive
Figma,Design Tool,"It is okay, does the job but nothing special.",3,neutral
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,Very polished. Updates keep making it better.,4,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,5,positive
Figma,Design Tool,"Keeps crashing on my device, unusable.",2,negative
Figma,Design Tool,"Best app in its category, the navigation makes sense.",4,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,5,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,Beautiful design and very responsive.,4,positive
Figma,Design Tool,Too many steps to do simple things.,2,negative
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,The search is fast and results are always relevant.,4,positive
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,"The new update broke everything, please revert.",1,negative
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,Beautiful design and very responsive.,4,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,The search is fast and results are always relevant.,4,positive
Figma,Design Tool,"Great UX, everything is where you expect it to be.",4,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,"Best app in its category, the navigation makes sense.",4,positive
Figma,Design Tool,Beautiful design and very responsive.,4,positive
Figma,Design Tool,"Keeps crashing on my device, unusable.",1,negative
Figma,Design Tool,Beautiful design and very responsive.,5,positive
Figma,Design Tool,"Hard to find basic features, navigation is confusing.",1,negative
Figma,Design Tool,"Some features are great, others feel unfinished.",3,neutral
Figma,Design Tool,"Way too many ads, completely ruins the experience.",1,negative
Figma,Design Tool,"Decent app, could use some UI improvements.",3,neutral
Figma,Design Tool,"Works as expected, nothing groundbreaking.",3,neutral
Figma,Design Tool,"Some features are great, others feel unfinished.",3,neutral
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,Settings are buried under too many menus.,1,negative
Figma,Design Tool,"Thoughtful design, love the attention to detail.",5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,"The new update broke everything, please revert.",2,negative
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,"Decent app, could use some UI improvements.",3,neutral
Figma,Design Tool,The search is fast and results are always relevant.,4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,4,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",4,positive
Figma,Design Tool,The search is fast and results are always relevant.,4,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",4,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,5,positive
Figma,Design Tool,"The interface is super clean and intuitive, love it!",5,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,"Thoughtful design, love the attention to detail.",4,positive
Figma,Design Tool,"Great UX, everything is where you expect it to be.",4,positive
Figma,Design Tool,Very polished. Updates keep making it better.,5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,Exactly what I needed. Simple and works perfectly.,5,positive
Figma,Design Tool,Very polished. Updates keep making it better.,4,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Figma,Design Tool,"Great UX, everything is where you expect it to be.",4,positive
Figma,Design Tool,"The new update broke everything, please revert.",2,negative
Figma,Design Tool,The search is fast and results are always relevant.,5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,"Thoughtful design, love the attention to detail.",5,positive
Figma,Design Tool,Settings are buried under too many menus.,2,negative
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,"Great UX, everything is where you expect it to be.",5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,The onboarding was seamless and well-designed.,4,positive
Figma,Design Tool,Beautiful design and very responsive.,4,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",4,positive
Figma,Design Tool,Beautiful design and very responsive.,5,positive
Figma,Design Tool,"Smooth experience, no bugs, highly recommend.",5,positive
Figma,Design Tool,Very polished. Updates keep making it better.,4,positive
Figma,Design Tool,Good concept but the execution needs work.,3,neutral
Figma,Design Tool,"The interface is super clean and intuitive, love it!",5,positive
Figma,Design Tool,"Best app in its category, the navigation makes sense.",5,positive
Notion,Productivity,The search is fast and results are always relevant.,4,positive
Notion,Productivity,The onboarding was seamless and well-designed.,5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,"Hard to find basic features, navigation is confusing.",1,negative
Notion,Productivity,"The recent redesign made things worse, not better.",1,negative
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,"Hard to find basic features, navigation is confusing.",1,negative
Notion,Productivity,Beautiful design and very responsive.,4,positive
Notion,Productivity,Beautiful design and very responsive.,5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",5,positive
Notion,Productivity,Settings are buried under too many menus.,1,negative
Notion,Productivity,"It is okay, does the job but nothing special.",3,neutral
Notion,Productivity,Too many steps to do simple things.,1,negative
Notion,Productivity,"The interface is super clean and intuitive, love it!",4,positive
Notion,Productivity,"Keeps crashing on my device, unusable.",1,negative
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",4,positive
Notion,Productivity,Exactly what I needed. Simple and works perfectly.,4,positive
Notion,Productivity,The onboarding was seamless and well-designed.,5,positive
Notion,Productivity,Very polished. Updates keep making it better.,4,positive
Notion,Productivity,"Some features are great, others feel unfinished.",3,neutral
Notion,Productivity,"The new update broke everything, please revert.",1,negative
Notion,Productivity,"The recent redesign made things worse, not better.",2,negative
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",4,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",4,positive
Notion,Productivity,"Decent app, could use some UI improvements.",3,neutral
Notion,Productivity,"The recent redesign made things worse, not better.",1,negative
Notion,Productivity,Good concept but the execution needs work.,3,neutral
Notion,Productivity,"Decent app, could use some UI improvements.",3,neutral
Notion,Productivity,Beautiful design and very responsive.,4,positive
Notion,Productivity,Beautiful design and very responsive.,4,positive
Notion,Productivity,Settings are buried under too many menus.,1,negative
Notion,Productivity,Beautiful design and very responsive.,5,positive
Notion,Productivity,"Works as expected, nothing groundbreaking.",3,neutral
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,Very polished. Updates keep making it better.,5,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",4,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",4,positive
Notion,Productivity,Good concept but the execution needs work.,3,neutral
Notion,Productivity,"Best app in its category, the navigation makes sense.",5,positive
Notion,Productivity,Beautiful design and very responsive.,4,positive
Notion,Productivity,Beautiful design and very responsive.,5,positive
Notion,Productivity,Very polished. Updates keep making it better.,5,positive
Notion,Productivity,The search is fast and results are always relevant.,4,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",5,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",5,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"It is okay, does the job but nothing special.",3,neutral
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,Very polished. Updates keep making it better.,5,positive
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",4,positive
Notion,Productivity,"Decent app, could use some UI improvements.",3,neutral
Notion,Productivity,The search is fast and results are always relevant.,4,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,Good concept but the execution needs work.,3,neutral
Notion,Productivity,Exactly what I needed. Simple and works perfectly.,4,positive
Notion,Productivity,Beautiful design and very responsive.,4,positive
Notion,Productivity,The search is fast and results are always relevant.,4,positive
Notion,Productivity,"The interface is super clean and intuitive, love it!",5,positive
Notion,Productivity,"Some features are great, others feel unfinished.",3,neutral
Notion,Productivity,"Thoughtful design, love the attention to detail.",4,positive
Notion,Productivity,"The recent redesign made things worse, not better.",2,negative
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"The interface is super clean and intuitive, love it!",5,positive
Notion,Productivity,Settings are buried under too many menus.,1,negative
Notion,Productivity,"Works as expected, nothing groundbreaking.",3,neutral
Notion,Productivity,Very polished. Updates keep making it better.,4,positive
Notion,Productivity,Very polished. Updates keep making it better.,5,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",4,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,"Works as expected, nothing groundbreaking.",3,neutral
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"Slow loading times, the app freezes constantly.",2,negative
Notion,Productivity,"The interface is super clean and intuitive, love it!",4,positive
Notion,Productivity,"Keeps crashing on my device, unusable.",1,negative
Notion,Productivity,Exactly what I needed. Simple and works perfectly.,4,positive
Notion,Productivity,The search is fast and results are always relevant.,4,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",5,positive
Notion,Productivity,"Works as expected, nothing groundbreaking.",3,neutral
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",5,positive
Notion,Productivity,"Works as expected, nothing groundbreaking.",3,neutral
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",5,positive
Notion,Productivity,Good concept but the execution needs work.,3,neutral
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",5,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",4,positive
Notion,Productivity,"Hard to find basic features, navigation is confusing.",1,negative
Notion,Productivity,The onboarding was seamless and well-designed.,5,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"Decent app, could use some UI improvements.",3,neutral
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"The interface is super clean and intuitive, love it!",5,positive
Notion,Productivity,Good concept but the execution needs work.,3,neutral
Notion,Productivity,Exactly what I needed. Simple and works perfectly.,4,positive
Notion,Productivity,"The recent redesign made things worse, not better.",1,negative
Notion,Productivity,The UI looks outdated and cluttered.,1,negative
Notion,Productivity,"Some features are great, others feel unfinished.",3,neutral
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,Very polished. Updates keep making it better.,5,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",4,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",5,positive
Notion,Productivity,Exactly what I needed. Simple and works perfectly.,4,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,Beautiful design and very responsive.,5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",5,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"Some features are great, others feel unfinished.",3,neutral
Notion,Productivity,"Great UX, everything is where you expect it to be.",5,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",4,positive
Notion,Productivity,Very polished. Updates keep making it better.,4,positive
Notion,Productivity,"Decent app, could use some UI improvements.",3,neutral
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,Exactly what I needed. Simple and works perfectly.,5,positive
Notion,Productivity,"Hard to find basic features, navigation is confusing.",2,negative
Notion,Productivity,The UI looks outdated and cluttered.,2,negative
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,The search is fast and results are always relevant.,4,positive
Notion,Productivity,Very polished. Updates keep making it better.,4,positive
Notion,Productivity,The UI looks outdated and cluttered.,2,negative
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,"Decent app, could use some UI improvements.",3,neutral
Notion,Productivity,Good concept but the execution needs work.,3,neutral
Notion,Productivity,"Thoughtful design, love the attention to detail.",4,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,The search is fast and results are always relevant.,5,positive
Notion,Productivity,Beautiful design and very responsive.,4,positive
Notion,Productivity,"Keeps crashing on my device, unusable.",2,negative
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,"Thoughtful design, love the attention to detail.",5,positive
Notion,Productivity,"Great UX, everything is where you expect it to be.",5,positive
Notion,Productivity,"Hard to find basic features, navigation is confusing.",2,negative
Notion,Productivity,Settings are buried under too many menus.,1,negative
Notion,Productivity,"Thoughtful design, love the attention to detail.",4,positive
Notion,Productivity,"Works as expected, nothing groundbreaking.",3,neutral
Notion,Productivity,"Hard to find basic features, navigation is confusing.",1,negative
Notion,Productivity,The onboarding was seamless and well-designed.,5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,Notifications are impossible to configure.,2,negative
Notion,Productivity,Settings are buried under too many menus.,1,negative
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",5,positive
Notion,Productivity,"The new update broke everything, please revert.",2,negative
Notion,Productivity,"The new update broke everything, please revert.",2,negative
Notion,Productivity,The onboarding was seamless and well-designed.,4,positive
Notion,Productivity,"The interface is super clean and intuitive, love it!",5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",4,positive
Notion,Productivity,Exactly what I needed. Simple and works perfectly.,5,positive
Notion,Productivity,"Smooth experience, no bugs, highly recommend.",5,positive
Notion,Productivity,"Hard to find basic features, navigation is confusing.",1,negative
Notion,Productivity,The onboarding was seamless and well-designed.,5,positive
Notion,Productivity,"The interface is super clean and intuitive, love it!",5,positive
Notion,Productivity,Notifications are impossible to configure.,1,negative
Notion,Productivity,Beautiful design and very responsive.,5,positive
Notion,Productivity,"Best app in its category, the navigation makes sense.",5,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,4,positive
Spotify,Entertainment,Settings are buried under too many menus.,1,negative
Spotify,Entertainment,Very polished. Updates keep making it better.,5,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,4,positive
Spotify,Entertainment,"Slow loading times, the app freezes constantly.",2,negative
Spotify,Entertainment,"The interface is super clean and intuitive, love it!",5,positive
Spotify,Entertainment,The UI looks outdated and cluttered.,1,negative
Spotify,Entertainment,Beautiful design and very responsive.,4,positive
Spotify,Entertainment,Good concept but the execution needs work.,3,neutral
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",4,positive
Spotify,Entertainment,"Way too many ads, completely ruins the experience.",2,negative
Spotify,Entertainment,"Way too many ads, completely ruins the experience.",2,negative
Spotify,Entertainment,"It is okay, does the job but nothing special.",3,neutral
Spotify,Entertainment,Too many steps to do simple things.,2,negative
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",5,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,4,positive
Spotify,Entertainment,"Thoughtful design, love the attention to detail.",5,positive
Spotify,Entertainment,"Decent app, could use some UI improvements.",3,neutral
Spotify,Entertainment,Settings are buried under too many menus.,1,negative
Spotify,Entertainment,"Smooth experience, no bugs, highly recommend.",5,positive
Spotify,Entertainment,Notifications are impossible to configure.,2,negative
Spotify,Entertainment,"Best app in its category, the navigation makes sense.",4,positive
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,5,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,5,positive
Spotify,Entertainment,Too many steps to do simple things.,1,negative
Spotify,Entertainment,"Works as expected, nothing groundbreaking.",3,neutral
Spotify,Entertainment,The search is fast and results are always relevant.,5,positive
Spotify,Entertainment,"Keeps crashing on my device, unusable.",1,negative
Spotify,Entertainment,"Works as expected, nothing groundbreaking.",3,neutral
Spotify,Entertainment,The UI looks outdated and cluttered.,2,negative
Spotify,Entertainment,"The interface is super clean and intuitive, love it!",4,positive
Spotify,Entertainment,"Thoughtful design, love the attention to detail.",4,positive
Spotify,Entertainment,The search is fast and results are always relevant.,4,positive
Spotify,Entertainment,Beautiful design and very responsive.,5,positive
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",5,positive
Spotify,Entertainment,"Works as expected, nothing groundbreaking.",3,neutral
Spotify,Entertainment,"Decent app, could use some UI improvements.",3,neutral
Spotify,Entertainment,Beautiful design and very responsive.,4,positive
Spotify,Entertainment,"Smooth experience, no bugs, highly recommend.",5,positive
Spotify,Entertainment,Beautiful design and very responsive.,5,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,4,positive
Spotify,Entertainment,Settings are buried under too many menus.,1,negative
Spotify,Entertainment,Good concept but the execution needs work.,3,neutral
Spotify,Entertainment,"Way too many ads, completely ruins the experience.",2,negative
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",4,positive
Spotify,Entertainment,The search is fast and results are always relevant.,4,positive
Spotify,Entertainment,"Smooth experience, no bugs, highly recommend.",5,positive
Spotify,Entertainment,"The recent redesign made things worse, not better.",1,negative
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",4,positive
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",4,positive
Spotify,Entertainment,"It is okay, does the job but nothing special.",3,neutral
Spotify,Entertainment,Beautiful design and very responsive.,4,positive
Spotify,Entertainment,"The interface is super clean and intuitive, love it!",4,positive
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",5,positive
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,5,positive
Spotify,Entertainment,Beautiful design and very responsive.,4,positive
Spotify,Entertainment,"Smooth experience, no bugs, highly recommend.",4,positive
Spotify,Entertainment,Good concept but the execution needs work.,3,neutral
Spotify,Entertainment,"The interface is super clean and intuitive, love it!",4,positive
Spotify,Entertainment,"Slow loading times, the app freezes constantly.",2,negative
Spotify,Entertainment,"Works as expected, nothing groundbreaking.",3,neutral
Spotify,Entertainment,"Works as expected, nothing groundbreaking.",3,neutral
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,5,positive
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,4,positive
Spotify,Entertainment,Very polished. Updates keep making it better.,5,positive
Spotify,Entertainment,Very polished. Updates keep making it better.,5,positive
Spotify,Entertainment,Very polished. Updates keep making it better.,5,positive
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,4,positive
Spotify,Entertainment,"Smooth experience, no bugs, highly recommend.",5,positive
Spotify,Entertainment,"Thoughtful design, love the attention to detail.",5,positive
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,5,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,5,positive
Spotify,Entertainment,Settings are buried under too many menus.,1,negative
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,4,positive
Spotify,Entertainment,Beautiful design and very responsive.,4,positive
Spotify,Entertainment,Very polished. Updates keep making it better.,5,positive
Spotify,Entertainment,"Works as expected, nothing groundbreaking.",3,neutral
Spotify,Entertainment,"Best app in its category, the navigation makes sense.",4,positive
Spotify,Entertainment,"The recent redesign made things worse, not better.",2,negative
Spotify,Entertainment,Very polished. Updates keep making it better.,4,positive
Spotify,Entertainment,"Thoughtful design, love the attention to detail.",4,positive
Spotify,Entertainment,Too many steps to do simple things.,2,negative
Spotify,Entertainment,The onboarding was seamless and well-designed.,4,positive
Spotify,Entertainment,Notifications are impossible to configure.,1,negative
Spotify,Entertainment,The onboarding was seamless and well-designed.,4,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,5,positive
Spotify,Entertainment,"Great UX, everything is where you expect it to be.",4,positive
Spotify,Entertainment,"Best app in its category, the navigation makes sense.",4,positive
Spotify,Entertainment,"The interface is super clean and intuitive, love it!",4,positive
Spotify,Entertainment,"Some features are great, others feel unfinished.",3,neutral
Spotify,Entertainment,"Thoughtful design, love the attention to detail.",5,positive
Spotify,Entertainment,The onboarding was seamless and well-designed.,5,positive
Spotify,Entertainment,"The recent redesign made things worse, not better.",1,negative
Spotify,Entertainment,"Hard to find basic features, navigation is confusing.",1,negative
Spotify,Entertainment,"It is okay, does the job but nothing special.",3,neutral
Spotify,Entertainment,"Decent app, could use some UI improvements.",3,neutral
Spotify,Entertainment,"Best app in its category, the navigation makes sense.",5,positive
Spotify,Entertainment,"Best app in its category, the navigation makes sense.",5,positive
Spotify,Entertainment,The search is fast and results are always relevant.,4,positive
Spotify,Entertainment,Exactly what I needed. Simple and works perfectly.,5,positive
Spotify,Entertainment,Good concept but the execution needs work.,3,neutral
